None,None,2021,None,None,None
PRODUCTION,,,,,
,,3 964 866,,,
,,2 477 752,,,
,,3 578 806,,,
,,10 021 424,,,
,,39.6,,,
,,24.7,,,
,,35.7,,,
,,1 141 186,,,
,,548 469,,,
,,1 689 655,,,
,,30 629 465,,,
HUMAN CAPITAL,,,,,
,,14 952,,,
,,7 895,,,
,,80,,,
,,22 927,,,
,,28 909,,,
,,4 408,,,
,,32 949,,,
,,37 357,,,
,,65.5,,,
,,3 691,,,
,,13.5,,,
,,64.1,,,
,,28.2,,,
,,95.3,,,
,,20.6,,,
,,25.9,,,
,,94.1,,,
,,84.0,,,
,,4,,,
,,41,,,
,,80.0,,,
,,3.9,,,
,,20.4,,,
,,2.6,,,
,,2.2,,,
,,4.5,,,
,,68 532 302,,,
,,9 169 329,,,
,,77 701 632,,,
,,8 760,,,
,,1 067,,,
,,560,,,
,,8,,,
,,23 822 054,,,
,,66 986,,,
,,0,,,
,,0,,,
